Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-March-2023,140.15,142.25,138.10,138.65,140.112963978113113634,594694,7653,83324339.00,143559,24.14,4.15,-1.50
13-March-2023,145.20,145.25,140.10,140.90,142.525280468407341059,378474,3413,53942113.00,112842,29.81,5.15,-4.30
10-March-2023,144.00,145.70,143.00,145.20,144.486382022471910112,311500,3473,45007508.00,131599,42.25,2.70,1.20
9-March-2023,145.95,146.40,144.50,144.85,145.340177743731508157,180147,3283,26182597.00,70272,39.01,1.90,-1.10
8-March-2023,144.15,146.30,144.15,145.95,145.577905184238103522,247153,2834,35980016.00,111508,45.12,2.15,1.80
6-March-2023,145.00,146.35,145.00,146.00,145.674443619527536960,171061,1769,24919216.00,43725,25.56,1.35,1.00
3-March-2023,145.15,145.75,144.70,145.00,145.135495777789579903,150632,1539,21862050.00,46635,30.96,1.05,-0.15
2-March-2023,144.35,145.55,142.70,145.05,144.990042475604379051,637307,2918,92403169.00,406227,63.74,2.85,0.70
1-March-2023,145.75,146.45,143.40,143.90,145.391154408782475152,877748,5671,127616795.00,457088,52.08,3.05,-1.85
28-February-2023,141.95,145.90,141.35,145.50,144.490401669315328117,1290589,6475,186477723.00,849213,65.80,4.55,3.55
27-February-2023,140.00,142.30,137.70,141.35,140.960409733198463257,2678133,7704,377510725.00,2048685,76.50,4.60,1.35
24-February-2023,140.15,142.05,140.15,141.35,141.136399550879527591,360705,3886,50908605.00,168105,46.60,1.90,1.20
23-February-2023,143.00,143.65,139.50,140.65,141.239561458463851647,399050,3982,56361647.00,100611,25.21,4.15,-2.35
22-February-2023,145.55,147.95,143.00,143.35,144.996065543524636477,433605,6079,62871019.00,166407,38.38,4.95,-2.20
21-February-2023,149.25,149.25,147.35,147.80,148.027046977173346170,124635,1456,18449351.00,41779,33.52,1.90,-1.45
20-February-2023,149.05,149.35,146.70,148.45,148.284401601335665060,164113,1858,24335398.00,29991,18.27,2.65,-0.60
17-February-2023,151.00,151.10,148.45,148.85,149.602902830398930242,179480,2319,26850729.00,76071,42.38,2.65,-2.15
16-February-2023,150.20,151.50,149.95,150.90,150.794996270861123660,374081,3875,56409543.00,176529,47.19,1.55,0.70
15-February-2023,149.75,151.80,148.65,149.95,150.281310087623078809,464946,4944,69872694.00,129959,27.95,3.15,0.20
14-February-2023,147.70,149.65,147.70,149.25,148.776145719633922882,202471,1984,30122855.00,60827,30.04,1.95,1.55
13-February-2023,147.75,150.45,146.60,148.85,149.112698787360221874,338930,2548,50538767.00,67790,20.00,3.85,1.10
10-February-2023,149.60,149.60,146.00,147.25,146.956646665616002890,520306,4414,76462425.00,151175,29.06,3.60,-2.35
9-February-2023,148.10,149.10,147.00,148.75,148.139687807752851681,257918,3083,38207892.00,53968,20.92,2.10,0.65
8-February-2023,150.00,150.30,147.30,148.40,148.696109638005349904,342436,6609,50918901.00,123443,36.05,3.00,-1.60
7-February-2023,153.95,154.60,148.20,149.45,151.262067157162406635,644518,6548,97491125.00,197663,30.67,6.40,-4.50
6-February-2023,154.05,156.25,152.15,152.90,153.665347096571178116,355924,4737,54693185.00,87859,24.68,4.10,-1.15
3-February-2023,153.00,156.25,151.70,153.85,154.061899058534979266,1257402,9903,193717740.00,450234,35.81,4.55,0.85
2-February-2023,153.05,155.10,146.80,152.05,152.101213173058837610,935728,9288,142325364.00,254177,27.16,8.30,-1.00
1-February-2023,149.90,153.40,145.00,147.70,150.371761792321772615,1205721,11131,181306391.00,464669,38.54,8.40,-2.20
31-January-2023,145.05,150.55,144.05,149.90,147.373937730568801595,370551,4048,54609560.00,96451,26.03,6.50,4.85
