Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-March-2023,2777.05,2784.00,2740.35,2746.25,2760.312907300548330606,69666,15684,192299959.00,57291,82.24,43.65,-30.80
13-March-2023,2828.95,2849.00,2773.00,2783.05,2812.501439718650401142,45495,7157,127954753.00,27125,59.62,76.00,-45.90
10-March-2023,2825.05,2840.35,2807.00,2829.55,2824.747678514249119436,15615,1917,44108435.00,5627,36.04,33.35,4.50
9-March-2023,2869.95,2871.65,2838.40,2853.20,2857.445275858365257241,55862,7020,159622608.00,42408,75.92,33.25,-16.75
8-March-2023,2852.05,2867.00,2827.00,2859.40,2848.171501098969135993,32303,5893,92004484.00,14701,45.51,40.00,7.35
6-March-2023,2835.05,2883.80,2831.95,2867.00,2873.427438516369920078,64814,6305,186238326.00,45877,70.78,51.85,31.95
3-March-2023,2845.20,2850.00,2811.65,2828.20,2825.938614007839656830,13521,2400,38209516.00,5146,38.06,38.35,-17.00
2-March-2023,2838.95,2849.00,2810.60,2833.55,2832.834376303712974551,40749,5771,115435168.00,21950,53.87,38.40,-5.40
1-March-2023,2828.50,2853.90,2816.50,2841.40,2837.084278207964601769,86784,8127,246213522.00,43917,50.60,37.40,12.90
28-February-2023,2754.95,2838.95,2730.00,2829.50,2794.484747179272879231,38288,4473,106995232.00,10267,26.82,108.95,74.55
27-February-2023,2738.70,2758.05,2725.00,2749.75,2743.552734413352970054,50925,7192,139715423.00,21663,42.54,33.05,11.05
24-February-2023,2709.30,2762.00,2709.30,2738.70,2740.806509285489455461,79425,8497,217688557.00,29955,37.71,52.70,29.40
23-February-2023,2791.00,2803.05,2701.00,2706.35,2731.355416728509168431,74113,11805,202428944.00,56356,76.04,102.05,-84.65
22-February-2023,2814.95,2814.95,2780.00,2795.90,2795.650550724637681159,25875,2180,72337458.00,12818,49.54,34.95,-19.05
21-February-2023,2836.00,2840.95,2805.00,2817.00,2814.149242761692650334,44900,6677,126355301.00,23283,51.86,35.95,-19.00
20-February-2023,2842.00,2851.90,2814.00,2827.35,2826.105573634080744141,67299,8038,190194079.00,37972,56.42,37.90,-14.65
17-February-2023,2790.05,2845.00,2786.40,2835.30,2831.652504818870099159,100646,12993,284994498.00,60057,59.67,58.60,45.25
16-February-2023,2798.00,2834.75,2790.60,2806.95,2818.621181183517103241,51423,7166,144941957.00,24329,47.31,44.15,8.95
15-February-2023,2776.00,2799.00,2755.25,2788.95,2771.540319871844559853,38703,5145,107266925.00,16599,42.89,43.75,12.95
14-February-2023,2791.05,2803.15,2765.00,2777.30,2776.546933085501858736,12912,2016,35850774.00,4483,34.72,38.15,-13.75
