Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-March-2023,404.00,407.80,399.80,402.65,403.774269306866987308,124334,2578,50202870.00,24677,19.85,8.00,-1.35
13-March-2023,407.05,415.00,398.60,402.20,407.252517068152834828,141931,3304,57801757.00,28994,20.43,16.40,-4.85
10-March-2023,404.00,409.35,395.65,405.60,405.467368529776308800,271088,8426,109917338.00,133485,49.24,13.70,1.60
9-March-2023,409.65,418.30,408.20,409.00,412.729643355213428573,435251,6954,179640990.00,273383,62.81,10.10,-0.65
8-March-2023,410.15,410.15,396.50,407.95,405.542394523078594908,257663,6335,104493270.00,54452,21.13,13.65,-2.20
6-March-2023,417.05,422.10,414.00,414.55,417.212038158087305916,75161,2211,31358074.00,24255,32.27,8.10,-2.50
3-March-2023,413.20,419.20,412.30,416.60,416.185010829963315846,159742,4155,66482226.00,67639,42.34,6.90,3.40
2-March-2023,414.80,416.45,408.15,410.85,411.840643156330225645,74010,2167,30480326.00,20187,27.28,8.30,-3.95
1-March-2023,401.40,415.00,401.40,413.05,410.394680114861156406,251434,5553,103187176.00,88512,35.20,13.60,11.65
28-February-2023,414.70,414.70,398.25,399.20,402.703885786843347604,122858,3845,49475394.00,28831,23.47,16.45,-15.50
27-February-2023,415.70,415.70,401.50,411.70,407.716811765046911385,103493,3464,42195836.00,27635,26.70,14.20,-4.00
24-February-2023,438.10,438.15,414.25,415.20,419.381264810581148935,383172,11977,160695158.00,146375,38.20,23.90,-22.90
23-February-2023,428.10,438.00,428.10,436.65,434.117071494726778405,66942,2656,29060665.00,21343,31.88,9.90,8.55
22-February-2023,430.40,434.25,426.75,429.60,431.056110228572839587,121493,3674,52370300.00,38386,31.60,7.50,-0.80
21-February-2023,436.50,438.25,430.00,431.50,434.251681893940315575,164398,3980,71390108.00,67137,40.84,8.25,-5.00
20-February-2023,430.00,435.50,429.40,434.50,432.791379516392463052,75309,2160,32593086.00,23697,31.47,6.10,4.50
17-February-2023,433.10,437.80,427.00,429.40,432.642377737262837336,49913,2264,21594479.00,17166,34.39,10.80,-3.70
16-February-2023,436.00,438.00,433.20,434.45,435.131562994645202572,59386,1547,25840723.00,17225,29.01,4.80,-1.55
15-February-2023,434.60,437.15,430.80,433.85,434.283946571794151608,64086,1576,27831521.00,14128,22.05,6.35,-0.75
14-February-2023,430.30,435.35,425.50,434.60,431.112756134253255174,96385,1856,41552803.00,20747,21.53,9.85,4.30
13-February-2023,433.70,439.70,426.60,427.45,433.294702995786354513,190334,5222,82470714.00,57256,30.08,13.10,-6.25
10-February-2023,443.00,444.65,431.10,433.15,435.226106526631657914,119970,3385,52214076.00,38235,31.87,13.55,-9.85
9-February-2023,437.85,447.70,431.70,444.35,439.476714484501517483,257993,6331,113381916.00,47660,18.47,16.00,6.50
8-February-2023,431.95,439.75,431.95,436.30,436.187333606878059486,209594,5347,91422248.00,68136,32.51,7.80,4.35
7-February-2023,441.00,442.00,425.55,429.60,432.257820638151252423,249596,5790,107889823.00,63820,25.57,16.45,-11.40
6-February-2023,458.95,458.95,446.10,447.25,450.530415360501567398,127600,4469,57487681.00,41239,32.32,12.85,-11.70
3-February-2023,466.95,468.10,450.35,459.65,457.480887807770738407,165261,6217,75603749.00,40898,24.75,17.75,-7.30
2-February-2023,465.40,471.00,461.00,465.45,465.956769178776613720,73975,2174,34469152.00,15048,20.34,10.00,0.05
