Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-March-2023,106.90,108.60,106.20,106.45,107.411413926930261451,3233979,25553,347366257.00,1290784,39.91,2.40,-0.45
13-March-2023,108.10,109.00,106.35,106.85,107.708096973146183491,1616530,12726,174113370.00,382177,23.64,2.65,-1.25
10-March-2023,107.50,108.35,106.60,108.05,107.702887161858532034,1753556,11403,188863044.00,549046,31.31,1.75,0.55
9-March-2023,107.60,108.95,107.45,108.20,108.429121780808207578,3776802,28841,409515324.00,2141020,56.69,1.50,0.60
8-March-2023,105.30,106.95,103.90,106.55,106.168194711197936398,1517735,10892,161135185.00,541856,35.70,3.05,1.25
6-March-2023,107.20,107.70,105.05,105.65,106.349689779598106758,1973758,14889,209908551.00,781436,39.59,2.65,-1.55
3-March-2023,105.75,107.40,105.05,106.95,106.073727471449961591,3357351,12317,356126735.00,1418419,42.25,2.35,1.20
2-March-2023,105.85,106.90,104.35,104.65,105.201975361812647882,1903955,12274,200299827.00,778226,40.87,2.55,-1.20
1-March-2023,104.35,107.10,104.35,105.50,105.677073769578787957,2109745,13069,222951678.00,598007,28.34,2.75,1.15
28-February-2023,106.60,107.05,103.70,103.95,104.952600555888162937,2074518,16261,217726059.00,869392,41.91,3.35,-2.65
27-February-2023,109.80,109.95,105.20,106.10,106.799438767268198375,3837980,46405,409894110.00,1394004,36.32,4.75,-3.70
24-February-2023,112.50,112.85,109.55,109.80,110.581594014722957861,1748290,11875,193328695.00,481207,27.52,3.30,-2.70
23-February-2023,111.30,113.70,111.30,111.90,112.345639529310975097,1512761,10481,169952102.00,376993,24.92,2.40,0.60
22-February-2023,113.05,113.65,110.65,111.15,111.980477655784273054,2528641,20434,283158427.00,696160,27.53,3.00,-1.90
21-February-2023,112.70,114.15,112.70,113.20,113.573898827895667801,1589193,9614,180490845.00,330091,20.77,1.45,0.50
20-February-2023,112.55,112.75,111.05,112.35,112.120456177261266676,2335671,18035,261876498.00,1038262,44.45,1.70,-0.20
