Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-March-2023,152.45,153.15,148.90,149.50,151.393952344440673563,238671,2579,36133346.00,58623,24.56,4.25,-2.95
23-March-2023,151.50,153.15,150.25,152.75,152.032547015105478443,323194,4131,49136007.00,149591,46.29,2.90,1.25
22-March-2023,151.80,152.70,150.85,151.60,151.764685906517459660,188463,2396,28602028.00,62501,33.16,1.85,-0.20
21-March-2023,152.90,153.35,151.00,151.45,151.813497101090869123,181965,1928,27624743.00,55219,30.35,2.35,-1.45
20-March-2023,151.15,154.10,151.15,152.15,152.910140884569117571,271002,4545,41438954.00,92939,34.29,2.95,1.00
17-March-2023,152.65,154.80,151.90,153.10,153.507240769400840150,452300,5351,69431325.00,223163,49.34,2.90,0.45
16-March-2023,151.90,153.40,148.00,152.30,151.047958024498995363,551941,4605,83369561.00,108822,19.72,5.40,0.40
15-March-2023,153.55,154.40,151.80,152.50,152.886952424650573045,405378,5949,61977007.00,125464,30.95,2.60,-1.05
14-March-2023,155.50,156.90,153.05,153.35,155.053931780533105767,318736,5563,49421270.00,149724,46.97,3.85,-2.15
13-March-2023,155.85,158.00,155.30,155.80,156.680709311668601017,537648,7340,84239070.00,206497,38.41,2.70,-0.05
10-March-2023,154.85,156.50,154.25,155.80,155.553757003034812002,254711,2848,39621253.00,55460,21.77,2.25,0.95
9-March-2023,158.70,159.10,156.10,156.25,157.403612428527104295,225610,2251,35511829.00,68415,30.32,3.00,-2.45
8-March-2023,156.35,158.85,156.35,158.15,157.942687936420727149,313058,2916,49445222.00,85451,27.30,2.50,1.80
6-March-2023,154.05,159.65,153.25,158.15,157.156954937776338183,873703,9168,137308503.00,559712,64.06,6.40,4.10
3-March-2023,154.05,155.65,153.55,154.35,154.897861127286871552,444767,4939,68893457.00,217100,48.81,2.10,0.30
2-March-2023,154.25,155.00,152.70,154.05,153.842702422626344323,395645,2910,60867096.00,127605,32.25,2.30,-0.20
1-March-2023,151.55,155.05,151.55,154.70,153.529527171803637794,188081,2739,28875987.00,76066,40.44,3.50,3.15
28-February-2023,154.50,155.50,151.35,152.00,153.696713292854531603,489639,5554,75255905.00,249793,51.02,4.15,-2.50
27-February-2023,154.40,155.95,153.00,155.20,154.615697884131736029,601597,8855,93016340.00,299705,49.82,2.95,0.80
24-February-2023,151.80,155.30,149.75,155.00,152.330474301205714144,646256,8353,98444483.00,247150,38.24,5.55,3.20
23-February-2023,153.75,156.20,153.35,154.75,154.896181055066961306,337135,4178,52220924.00,100303,29.75,2.85,1.00
22-February-2023,154.40,154.40,151.75,153.45,152.958413829275755059,457580,5913,69990711.00,205206,44.85,2.65,-0.95
21-February-2023,154.75,155.95,153.50,154.10,154.654247385433661530,228623,3238,35357518.00,62770,27.46,2.45,-0.65
