Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-March-2023,33.11,33.39,31.50,31.85,32.477028480468077783,464880,2706,15097921.00,237016,50.98,1.89,-1.26
23-March-2023,33.53,33.80,33.20,33.30,33.523775220966153145,298462,1433,10005573.00,153109,51.30,0.60,-0.23
22-March-2023,34.03,34.39,33.65,33.78,34.005334859484683790,249866,1444,8496777.00,137446,55.01,0.74,-0.25
21-March-2023,34.22,34.62,34.00,34.12,34.233068315117210047,268535,1004,9192777.00,106107,39.51,0.62,-0.10
20-March-2023,33.10,34.87,32.80,34.32,33.404819172797052003,369607,2009,12346655.00,120839,32.69,2.07,1.22
17-March-2023,34.10,34.40,33.28,33.46,33.711205872382756687,315647,1777,10640841.00,142790,45.24,1.12,-0.64
16-March-2023,32.80,34.27,32.25,33.95,33.306034672237916426,432219,2184,14395501.00,121176,28.04,2.02,1.15
15-March-2023,33.61,33.84,32.42,32.71,33.243217763307544527,364887,2226,12130018.00,218156,59.79,1.42,-0.90
14-March-2023,34.11,34.40,33.30,33.37,33.623987180355248606,487377,2829,16387558.00,214231,43.96,1.10,-0.74
13-March-2023,35.11,35.30,34.40,34.46,34.750227339717659749,159453,641,5541028.00,70137,43.99,0.90,-0.65
10-March-2023,35.50,35.50,34.50,35.19,35.051848247321444228,228108,1386,7995607.00,102457,44.92,1.00,-0.31
9-March-2023,36.06,36.45,35.28,35.54,35.964076698561713907,265872,2004,9561841.00,102277,38.47,1.17,-0.52
8-March-2023,36.10,36.47,36.00,36.20,36.176718625099920063,100080,574,3620566.00,45262,45.23,0.47,0.10
6-March-2023,37.00,37.02,36.39,36.51,36.680936970362463895,293243,1457,10756428.00,63761,21.74,0.63,-0.49
3-March-2023,36.91,37.18,36.15,36.48,36.660612514543769350,456381,3270,16731207.00,162336,35.57,1.03,-0.43
2-March-2023,36.79,37.74,36.73,36.85,37.179199255533645004,451330,2055,16780088.00,109851,24.34,1.01,0.06
1-March-2023,37.35,37.63,36.65,36.88,37.010332749987257003,411991,2001,15247924.00,85137,20.66,0.98,-0.47
28-February-2023,39.30,39.35,36.90,37.25,37.914043668171115697,715212,3322,27116579.00,291190,40.71,2.45,-2.05
27-February-2023,40.80,42.20,39.10,39.90,40.690083637348753199,2152029,8572,87566240.00,368114,17.11,3.10,-0.90
24-February-2023,35.70,40.75,35.70,39.70,38.875598879706830942,2544334,9655,98912508.00,487273,19.15,5.05,4.00
23-February-2023,36.40,36.75,34.70,35.35,35.343104500833296841,776434,2710,27441588.00,249920,32.19,2.05,-1.05
22-February-2023,36.95,36.95,35.20,35.50,35.799986772583975720,136081,969,4871698.00,50569,37.16,1.75,-1.45
21-February-2023,37.70,38.40,36.25,37.30,37.736636574403875296,308828,1084,11654130.00,71721,23.22,2.15,-0.40
20-February-2023,37.55,39.25,37.25,38.35,38.427033355617922239,1473365,4971,56617046.00,408544,27.73,2.00,0.80
17-February-2023,35.50,37.90,35.50,37.55,36.703585404619620069,589529,2494,21637828.00,153378,26.02,2.40,2.05
16-February-2023,32.90,36.50,32.75,35.95,35.343036318790505387,901269,3851,31853583.00,211683,23.49,3.75,3.05
15-February-2023,33.15,33.20,32.00,32.20,32.360186104077913158,265013,1215,8575870.00,113702,42.90,1.20,-0.95
14-February-2023,34.95,34.95,33.20,33.35,33.730662925465994891,714922,3289,24114793.00,247967,34.68,1.75,-1.60
13-February-2023,35.10,35.30,34.75,35.05,34.999838460295848429,86666,415,3033296.00,43549,50.25,0.55,-0.05
10-February-2023,35.05,35.80,35.00,35.05,35.228331216355168450,99198,614,3494580.00,63567,64.08,0.80,0.00
9-February-2023,35.05,35.40,34.85,35.05,35.089212818552188143,247173,1037,8673106.00,86338,34.93,0.55,0.00
8-February-2023,35.20,35.45,34.90,35.10,35.123250530732889845,282157,1212,9910271.00,114051,40.42,0.55,-0.10
7-February-2023,35.60,35.60,34.90,35.10,35.116361529548088064,258900,1335,9091626.00,105178,40.62,0.70,-0.50
6-February-2023,35.50,35.60,35.10,35.25,35.243366313740261580,268139,1166,9450121.00,69005,25.73,0.50,-0.25
3-February-2023,35.70,35.75,34.70,35.00,35.053225481447364633,69478,574,2435428.00,30774,44.29,1.05,-0.70
2-February-2023,35.25,36.85,35.05,35.65,35.956296752485955478,266296,2205,9575018.00,105251,39.52,1.80,0.40
1-February-2023,35.60,36.60,34.65,35.25,35.828629242943864415,210526,1249,7542858.00,52875,25.12,1.95,-0.35
31-January-2023,34.50,36.15,34.40,35.45,35.106606318831178404,474803,1563,16668722.00,250028,52.66,1.75,0.95
30-January-2023,35.20,35.80,34.30,34.50,34.789042304805848180,287816,2659,10012843.00,152246,52.90,1.50,-0.70
27-January-2023,36.05,36.15,34.80,35.20,35.298351762417779331,366088,2731,12922303.00,192987,52.72,1.35,-0.85
25-January-2023,36.40,36.50,35.95,36.00,36.174870371821441405,370097,2152,13388211.00,127522,34.46,0.55,-0.40
24-January-2023,36.80,36.90,36.40,36.60,36.561686667016017747,57249,614,2093120.00,22763,39.76,0.50,-0.20
23-January-2023,36.95,37.05,36.60,36.75,36.826434579828433413,72042,460,2653050.00,46759,64.91,0.45,-0.20
20-January-2023,36.95,37.50,36.85,36.90,37.095234552286001264,53762,450,1994314.00,27207,50.61,0.65,-0.05
19-January-2023,37.00,37.70,36.50,37.35,37.430908834867714622,113618,802,4252825.00,47251,41.59,1.20,0.35
18-January-2023,36.60,37.00,36.55,36.80,36.769913139900203289,238084,1433,8754328.00,55799,23.44,0.45,0.20
17-January-2023,37.10,37.20,36.60,36.75,36.953378008482122245,303226,1472,11205225.00,94517,31.17,0.60,-0.35
16-January-2023,37.35,37.35,36.90,37.10,37.077561060767167637,315055,1315,11681471.00,86515,27.46,0.45,-0.25
13-January-2023,37.55,37.55,36.70,37.05,36.955473333345937657,528919,2123,19546452.00,96084,18.17,0.85,-0.50
12-January-2023,37.65,38.00,37.05,37.15,37.445620774606452396,526874,2296,19729124.00,83774,15.90,0.95,-0.50
11-January-2023,37.90,37.90,36.95,37.65,37.273457593750992283,157465,1259,5869265.00,49876,31.67,0.95,-0.25
10-January-2023,37.45,37.55,36.75,37.05,37.114502169023695626,143613,874,5330125.00,81316,56.62,0.80,-0.40
9-January-2023,37.80,38.15,37.35,37.45,37.703954073405147390,77515,699,2922622.00,32635,42.10,0.80,-0.35
6-January-2023,38.05,38.25,37.65,37.70,37.865751323387872954,132992,836,5035842.00,65837,49.50,0.60,-0.35
5-January-2023,38.55,39.00,38.10,38.15,38.322185246434961774,295088,1931,11308417.00,95239,32.27,0.90,-0.40
4-January-2023,38.60,38.80,38.00,38.20,38.417745582540313148,269329,2012,10347013.00,77140,28.64,0.80,-0.40
3-January-2023,38.90,39.10,38.25,38.35,38.611977070613871493,305634,1893,11801133.00,88574,28.98,0.85,-0.55
2-January-2023,39.35,39.35,38.50,38.95,38.749494118505642651,301454,2018,11681190.00,130361,43.24,0.85,-0.40
30-December-2022,38.10,39.60,38.10,38.75,38.656337684955904433,279053,1974,10787167.00,61086,21.89,1.50,0.65
29-December-2022,38.20,38.30,37.60,37.95,37.951288135484962970,313127,2176,11883573.00,101497,32.41,0.70,-0.25
28-December-2022,37.75,38.70,37.75,38.20,38.172628165205047495,356454,1783,13606786.00,114808,32.21,0.95,0.45
27-December-2022,38.00,38.40,37.55,37.65,37.838238464025620101,259796,1896,9830223.00,113359,43.63,0.85,-0.35
26-December-2022,35.05,38.05,35.00,37.85,36.773791837804771476,183088,1231,6732840.00,64550,35.26,3.05,2.80
23-December-2022,36.15,36.95,35.25,35.45,35.695766032865386593,641526,3805,22899762.00,298238,46.49,1.70,-0.70
22-December-2022,38.95,38.95,36.45,37.10,37.432255146466139575,791514,4617,29628154.00,518156,65.46,2.50,-1.85
21-December-2022,41.10,41.30,38.65,39.00,39.789481254631492510,549229,3536,21853537.00,259786,47.30,2.65,-2.10
20-December-2022,41.40,42.20,40.85,41.10,41.399007262010699888,468603,2247,19399699.00,172359,36.78,1.35,-0.30
19-December-2022,41.15,42.10,40.05,41.20,41.036022803143135945,194710,1060,7990124.00,68180,35.02,2.05,0.05
16-December-2022,40.90,41.25,40.05,40.60,40.691649992893145712,182922,1006,7443398.00,63033,34.46,1.20,-0.30
15-December-2022,40.80,41.50,39.85,40.35,40.914245830891363418,469225,1802,19197987.00,306100,65.24,1.65,-0.45
14-December-2022,41.50,41.75,40.50,40.75,41.051458098939422744,320863,2013,13171894.00,155946,48.60,1.25,-0.75
13-December-2022,40.85,42.25,40.50,41.45,41.631534794102044455,891631,3284,37119967.00,371416,41.66,1.75,0.60
12-December-2022,40.05,40.65,39.45,40.50,40.106544370819841896,419093,1934,16808372.00,154661,36.90,1.20,0.45
9-December-2022,41.00,41.00,39.65,40.10,40.190211982014301166,370739,2256,14900079.00,182251,49.16,1.35,-0.90
8-December-2022,41.35,42.15,40.25,40.60,40.797595197255574614,291500,1475,11892499.00,148019,50.78,1.90,-0.75
7-December-2022,42.45,43.15,41.00,41.25,42.145141499013997526,620181,3476,26137616.00,228294,36.81,2.15,-1.20
6-December-2022,39.30,43.25,39.30,42.15,41.909517847708483707,1075096,5469,45056755.00,297583,27.68,3.95,2.85
5-December-2022,39.05,39.95,39.05,39.70,39.687949173721898807,769051,3020,30522057.00,406897,52.91,0.90,0.65
2-December-2022,39.20,39.35,38.65,38.95,39.004882722940259378,316217,1041,12334007.00,61826,19.55,0.70,-0.25
