Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-March-2023,52.36,52.83,50.20,50.63,51.066579906051874761,2951416,8249,150718721.00,848570,28.75,2.63,-1.73
23-March-2023,53.00,53.19,52.12,52.60,52.749051479524958522,2515233,9338,132676155.00,765707,30.44,1.07,-0.40
22-March-2023,53.44,53.92,52.72,53.14,53.296561651230840004,3808456,10335,202977610.00,1089596,28.61,1.20,-0.30
21-March-2023,53.60,54.15,52.69,53.04,53.573176427637740477,2892523,9934,154961645.00,1060411,36.66,1.46,-0.56
20-March-2023,53.21,54.73,52.22,53.55,53.571384461247645479,4485521,16006,240295570.00,1312012,29.25,2.51,0.34
17-March-2023,53.40,55.60,53.02,54.94,54.240265272318477639,5939406,16283,322154957.00,3036135,51.12,2.58,1.54
16-March-2023,50.83,53.70,49.88,53.08,51.698559633476093434,4274537,13739,220987406.00,1682728,39.37,3.82,2.25
15-March-2023,51.69,52.24,50.60,50.76,51.115862795976178617,2756683,11033,140910230.00,1026900,37.25,1.64,-0.93
14-March-2023,52.01,52.50,50.23,50.87,51.171145286844530956,2873839,7947,147057633.00,466942,16.25,2.27,-1.14
13-March-2023,53.55,54.64,51.60,51.87,52.741849359605025674,3003537,9844,158412096.00,1146079,38.16,3.04,-1.68
10-March-2023,53.78,54.51,53.27,53.84,54.039596809008391647,3592739,13704,194150167.00,913106,25.42,1.24,0.06
9-March-2023,54.91,56.33,53.90,54.10,55.284715618730344541,5120397,16823,283079692.00,1624762,31.73,2.43,-0.81
8-March-2023,53.21,55.35,52.65,54.87,53.761476172905480486,3772512,12611,202815814.00,1318587,34.95,2.70,1.66
6-March-2023,53.86,54.94,53.70,53.96,54.412238527484342738,4133226,16337,224898079.00,1120960,27.12,1.24,0.10
3-March-2023,54.66,55.39,53.25,53.71,54.039729475807073832,6739656,14041,364209187.00,4008422,59.48,2.14,-0.95
2-March-2023,54.32,55.22,54.32,54.56,54.791529045466813595,2682484,10075,146977400.00,326726,12.18,0.90,0.24
1-March-2023,53.21,55.35,53.21,54.94,54.718507936167527658,4849444,15999,265354340.00,1706001,35.18,2.14,1.73
28-February-2023,53.65,54.40,53.05,53.60,53.600174996514080114,2997774,8868,160681211.00,1247445,41.61,1.35,-0.05
27-February-2023,54.65,54.70,53.20,53.60,53.801065675533437733,2958499,10804,159170399.00,824904,27.88,1.50,-1.05
